,home_name,away_name,possession_team_name,team_basket,period,padded_game_clock,event_type,points_scored,event_coord_x,event_coord_y
0,Wolverines,Cougars,Cougars,right,1,20:00,opentip,,557.0,301.0
1,Wolverines,Cougars,Wolverines,right,1,19:41,twopointmade,2.0,993.0,298.0
2,Wolverines,Cougars,,left,1,19:13,threepointmiss,,336.0,400.0
3,Wolverines,Cougars,Cougars,right,1,19:11,rebound,,336.0,400.0
4,Wolverines,Cougars,,right,1,18:41,twopointmiss,,1024.0,305.0
5,Wolverines,Cougars,Wolverines,left,1,18:39,rebound,,1024.0,305.0
6,Wolverines,Cougars,,left,1,18:26,threepointmiss,,342.0,305.0
7,Wolverines,Cougars,Wolverines,left,1,18:24,rebound,,342.0,305.0
8,Wolverines,Cougars,,left,1,18:21,threepointmiss,,314.0,399.0
9,Wolverines,Cougars,Cougars,right,1,18:19,rebound,,314.0,399.0
10,Wolverines,Cougars,Wolverines,right,1,18:03,twopointmade,2.0,1041.0,287.0
11,Wolverines,Cougars,Cougars,left,1,17:47,turnover,,347.0,241.0
12,Wolverines,Cougars,,left,1,17:47,lineupchange,,0.0,0.0
13,Wolverines,Cougars,Cougars,left,1,17:47,offensivefoul,,347.0,241.0
14,Wolverines,Cougars,Cougars,left,1,17:47,offensivefoul,,347.0,241.0
15,Wolverines,Cougars,Cougars,left,1,17:47,offensivefoul,,347.0,241.0
16,Wolverines,Cougars,,right,1,17:32,twopointmiss,,1013.0,286.0
17,Wolverines,Cougars,Wolverines,left,1,17:30,rebound,,1013.0,286.0
18,Wolverines,Cougars,Wolverines,right,1,17:30,personalfoul,,1030.0,296.0
19,Wolverines,Cougars,Wolverines,right,1,17:30,personalfoul,,1030.0,296.0
20,Wolverines,Cougars,,left,1,17:18,twopointmiss,,96.0,276.0
21,Wolverines,Cougars,Wolverines,left,1,17:17,rebound,,96.0,276.0
22,Wolverines,Cougars,Wolverines,left,1,17:03,rebound,,230.0,293.0
23,Wolverines,Cougars,,right,1,17:03,lineupchange,,0.0,0.0
24,Wolverines,Cougars,,left,1,17:03,freethrowmiss,,230.0,293.0
25,Wolverines,Cougars,Wolverines,left,1,17:03,freethrowmade,1.0,233.0,291.0
26,Wolverines,Cougars,Wolverines,right,1,17:03,shootingfoul,,85.0,274.0
27,Wolverines,Cougars,Wolverines,right,1,17:03,shootingfoul,,85.0,274.0
28,Wolverines,Cougars,,left,1,16:48,threepointmiss,,347.0,250.0
29,Wolverines,Cougars,Cougars,right,1,16:46,rebound,,347.0,250.0
30,Wolverines,Cougars,,right,1,16:28,twopointmiss,,979.0,262.0
31,Wolverines,Cougars,Wolverines,left,1,16:26,rebound,,979.0,262.0
32,Wolverines,Cougars,,left,1,16:01,threepointmiss,,335.0,401.0
33,Wolverines,Cougars,Cougars,right,1,15:59,rebound,,335.0,401.0
34,Wolverines,Cougars,,right,1,15:43,lineupchange,,0.0,0.0
35,Wolverines,Cougars,,left,1,15:43,lineupchange,,0.0,0.0
36,Wolverines,Cougars,Cougars,,1,15:43,tvtimeout,,,
37,Wolverines,Cougars,Cougars,left,1,15:43,personalfoul,,964.0,281.0
38,Wolverines,Cougars,Cougars,left,1,15:43,personalfoul,,964.0,281.0
39,Wolverines,Cougars,Wolverines,right,1,15:25,turnover,,,
40,Wolverines,Cougars,Wolverines,right,1,15:25,turnover,,,
41,Wolverines,Cougars,Wolverines,left,1,15:25,jumpball,,1017.0,325.0
42,Wolverines,Cougars,,left,1,15:07,threepointmiss,,350.0,331.0
43,Wolverines,Cougars,Cougars,right,1,15:05,rebound,,350.0,331.0
44,Wolverines,Cougars,,right,1,14:55,twopointmiss,,1058.0,297.0
45,Wolverines,Cougars,Cougars,right,1,14:53,rebound,,1058.0,297.0
